disease,description,remedies
Pepper bell Bacterial spot," caused by the bacterium Xanthomonas campestris that leads to dark, sunken lesions on pepper fruits and leaves.",Choose Resistant Varieties
Pepper bell healthy,"refers to bell pepper plants that are robust, free from diseases and pests, and exhibit vibrant green foliage and high-quality fruit.",Provide Optimal Growing Conditions
Potato Early blight,"fungal disease caused by Alternaria solani that results in dark, concentric lesions on potato leaves and stems, potentially leading to reduced yield and quality.",Apply Fungicides
Potato late blight,"serious fungal disease caused by Phytophthora infestans that causes rapid decay of potato leaves, stems, and tubers, leading to significant crop loss.",Practice Crop Rotation
Potato healthy,"refers to potato plants that are vigorous, free from diseases and pests, and produce robust tubers with no signs of rot or discoloration.",Ensure Proper Drainage
Tomato Bacterial spot,"disease caused by Xanthomonas campestris that results in dark, water-soaked spots on tomato leaves, stems, and fruit, potentially reducing yield and quality.",Use Resistant Varieties
Tomato Early blight,"fungal disease caused by Alternaria solani that leads to dark, concentric lesions on tomato leaves and stems, which can cause premature leaf drop and reduced fruit quality.",Apply Fungicides
Tomato late blight,"destructive fungal disease caused by Phytophthora infestans that causes rapid decay of leaves, stems, and fruit.",Remove Infected Plants
Tomato leaf mold,fungal disease caused by Cladosporium fulvum that results in yellowing and moldy spots on the upper surfaces of tomato leaves.,Improve Air Circulation
Tomato septoria leaf spot,"fungal disease caused by Septoria lycopersici that leads to small, dark spots with light centers on tomato leaves, causing premature leaf drop and reduced plant vigor.",Use Mulch
Tomato spide mites two sotted spider mite,"infests tomato plants, causing stippling, leaf discoloration, and webbing.",Use Miticidal Soap
Tomato target spot ,"fungal disease caused by Corynespora cassiicola that creates concentric, target-like lesions on tomato leaves and stems, leading to reduced plant health.",Remove Infected Leaves
Tomato Tomato yellowleaf curlvirus,"viral disease that causes yellowing, curling, and stunting of tomato leaves, leading to reduced fruit yield and quality.",Control Whiteflies
Tomato Tomato Mosaic virus,"viral disease that causes mottled, distorted leaves and reduced fruit yield in tomatoes.",Remove Infected Plants
Tomato healthy,"refers to tomato plants that are vigorous, free from diseases and pests, with lush green foliage and strong fruit production.",Ensure Proper Watering
